TABLE NO.  1
 ID          TIME        PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  2.5000E+01  4.0000E+01  3.4157E-03  1.7156E-02  1.7685E+00 -2.3635E-02 -1.4578E-01  1.5102E-02  5.4697E-03 -1.2694E+00
  2.6000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9952E+01  0.0000E+00  2.0888E+01  0.0000E+00  0.0000E+00
  2.6000E+01  4.0000E-01  1.0916E+01 -5.2435E+00 -1.3461E+00  1.1121E+01  2.1368E+00  1.0304E+01 -4.6315E+00 -1.1672E+00
  2.6000E+01  2.0000E+00  1.4761E+00 -1.0859E+00 -5.8620E-01  8.7292E-01  1.0169E+00  1.7716E+00 -1.3814E+00 -9.2227E-01
  2.6000E+01  1.0000E+01  2.2799E-01 -1.9860E-01 -3.2934E-01  1.1824E-01 -1.1249E+00  2.7473E-01 -2.4534E-01 -3.7499E-01
  2.6000E+01  4.0000E+01  3.4157E-03 -3.3954E-03  4.4062E-01  1.2747E-04  7.2448E-01  1.2313E-02 -1.2293E-02  2.0410E-01
  2.6000E+01  7.0000E+01  5.1174E-05 -5.1167E-05  2.4270E-01  9.1620E-08 -7.4267E-01  1.2917E-03 -1.2917E-03  1.3085E-01
  2.7000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8356E+01  0.0000E+00  2.1781E+01  0.0000E+00  0.0000E+00
  2.7000E+01  1.0000E-01  1.7136E+01 -6.1925E+00 -7.3840E-01  1.5839E+01 -8.4748E-01  1.7960E+01 -7.0159E+00 -8.4286E-01
  2.7000E+01  4.0000E-01  1.0916E+01 -4.9095E+00 -1.0020E+00  1.0248E+01 -1.3570E+00  1.0655E+01 -4.6485E+00 -8.4177E-01
  2.7000E+01  7.0000E-01  7.0535E+00 -3.1787E+00 -8.9700E-01  6.7243E+00 -1.3018E+00  6.7961E+00 -2.9213E+00 -6.8284E-01
  2.7000E+01  4.0000E+00  5.5991E-01  1.9576E-01  9.8197E-01  6.0323E-01  1.0151E+00  7.7414E-01 -1.8469E-02  4.7606E-01
  2.7000E+01  2.0000E+01  5.6203E-02 -3.6646E-02 -5.6235E-02  4.3672E-02 -3.1022E-01  8.9250E-02 -6.9693E-02 -4.2078E-01
  2.8000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.6186E+01  0.0000E+00  2.1183E+01  0.0000E+00  0.0000E+00
  2.8000E+01  2.0000E-01  1.4726E+01 -8.0767E+00 -1.4607E+00  2.2296E+01 -3.3714E+00  1.4522E+01 -7.8732E+00 -1.3897E+00
